epoch,loss,lr,mae,val_loss,val_mae
0,0.3819422721862793,0.001,0.2311321347951889,0.2731703817844391,0.13069377839565277
1,0.23133353888988495,0.001,0.11917819082736969,0.20077192783355713,0.1147688627243042
2,0.17018502950668335,0.001,0.097864530980587,0.15921756625175476,0.11104394495487213
3,0.13405552506446838,0.001,0.08997838199138641,0.1370050609111786,0.1342220902442932
4,0.11050841957330704,0.001,0.08807962387800217,0.12551310658454895,0.14682325720787048
5,0.09109003841876984,0.001,0.07974695414304733,0.10627905279397964,0.145661398768425
6,0.07702595740556717,0.001,0.07862565666437149,0.0815586969256401,0.11085692793130875
7,0.06618418544530869,0.001,0.08010761439800262,0.11615035682916641,0.21636196970939636
8,0.05686299130320549,0.001,0.0783962681889534,0.11323031783103943,0.22715672850608826
9,0.05000028386712074,0.001,0.08210523426532745,0.05576266720890999,0.10683158040046692
10,0.04321635141968727,0.001,0.0775146335363388,0.04849635809659958,0.11193574965000153
11,0.035499218851327896,0.001,0.06768801808357239,0.04330723360180855,0.11092666536569595
12,0.032121773809194565,0.001,0.0734654888510704,0.030130499973893166,0.06948976218700409
13,0.028692126274108887,0.001,0.07338967174291611,0.030459677800536156,0.08802272379398346
